Ref,Val,Package,PosX,PosY,Rot,Side
"1","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",85.252600,-76.977200,0.000000,top
"3","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",87.782600,-76.962200,0.000000,top
"3V1","Conn_01x02","PinHeader_1x02_P1.27mm_Vertical",98.577600,-126.212800,90.000000,top
"5","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",90.322600,-76.962200,0.000000,top
"5V1","Conn_01x05","PinHeader_1x05_P1.27mm_Vertical",90.957600,-126.212800,90.000000,top
"7","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",92.862600,-76.977200,0.000000,top
"9","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",95.402600,-76.977200,0.000000,top
"11","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",97.942600,-76.962200,0.000000,top
"13","PinSocket_2x38_P1.27mm_Vertical","PinSocket_2x38_P1.27mm_Vertical",100.482600,-76.962200,0.000000,top
"CAM1","Conn_01x10","PinHeader_1x10_P1.27mm_Horizontal",108.077200,-110.566400,180.000000,top
"GPIO1","Conn_01x18","PinHeader_1x18_P1.27mm_Horizontal",108.077200,-96.774200,180.000000,top
"GROUND1","Conn_01x08","PinHeader_1x08_P1.27mm_Vertical",99.827200,-74.207000,-90.000000,top
"SPK_L1","Conn_01x02","PinHeader_1x02_P1.27mm_Horizontal",108.089200,-125.288000,180.000000,top
"SPK_R1","Conn_01x02","PinHeader_1x02_P1.27mm_Horizontal",108.089200,-114.289800,180.000000,top
"USB3","Conn_01x02","PinHeader_1x02_P1.27mm_Horizontal",108.089200,-121.630400,180.000000,top
"USB4","Conn_01x02","PinHeader_1x02_P1.27mm_Horizontal",108.089200,-117.947400,180.000000,top
