"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"5V1";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05";;;
2;"H1,H2";"MountingHole_5mm";2;"MountingHole";;;
3;"SPK_L1,USB3,SPK_R1,USB4";"PinHeader_1x02_P1.27mm_Horizontal";4;"Conn_01x02";;;
4;"CAM1";"PinHeader_1x10_P1.27mm_Horizontal";1;"Conn_01x10";;;
5;"GROUND1";"PinHeader_1x08_P1.27mm_Vertical";1;"Conn_01x08";;;
6;"9,13,11,5,1,3,7";"PinSocket_2x38_P1.27mm_Vertical";7;"PinSocket_2x38_P1.27mm_Vertical";;;
7;"U1";"edge-minipcie";1;"UC EXPANSION";;;
8;"GPIO1";"PinHeader_1x18_P1.27mm_Horizontal";1;"Conn_01x18";;;
9;"3V1";"PinHeader_1x02_P1.27mm_Vertical";1;"Conn_01x02";;;
10;"U3,U2";"speaker pads";2;"Speaker";;;
