Ref,Val,Package,PosX,PosY,Rot,Side
"","","",109.525000,-114.224000,0.000000,top
"","","",111.430000,-114.224000,0.000000,top
"","","",107.620000,-114.224000,0.000000,top
"","","",98.554000,-85.776000,0.000000,top
"","","",113.335000,-114.224000,0.000000,top
"","","",97.604000,-103.302000,0.000000,top
"","","",99.011000,-112.678000,0.000000,top
"","","",83.810000,-73.965000,0.000000,top
"","","",106.631000,-112.678000,0.000000,top
"","","",100.000000,-114.224000,0.000000,top
"","","",97.604000,-84.252000,0.000000,top
"","","",104.726000,-112.678000,0.000000,top
"","","",108.536000,-112.678000,0.000000,top
"","","",98.554000,-104.826000,0.000000,top
"","","",105.505000,-114.224000,0.000000,top
"","","",112.346000,-112.678000,0.000000,top
"","","",102.821000,-112.678000,0.000000,top
"","","",101.905000,-114.224000,0.000000,top
"","","",100.916000,-112.678000,0.000000,top
"","","",103.705000,-114.224000,0.000000,top
"","","",110.441000,-112.678000,0.000000,top
"1","","",99.404000,-103.302000,0.000000,top
"1","","",99.404000,-84.252000,0.000000,top
"1","","",100.354000,-104.826000,0.000000,top
"1","","",100.354000,-85.776000,0.000000,top
"2","","",102.154000,-85.776000,0.000000,top
"2","","",101.204000,-103.302000,0.000000,top
"2","","",101.204000,-84.252000,0.000000,top
"2","","",102.154000,-104.826000,0.000000,top
"3","","",103.004000,-84.252000,0.000000,top
"3","","",103.004000,-103.302000,0.000000,top
"3","","",103.954000,-85.776000,0.000000,top
"3","","",103.954000,-104.826000,0.000000,top
"4","","",105.754000,-85.776000,0.000000,top
"4","","",104.804000,-103.302000,0.000000,top
"4","","",105.754000,-104.826000,0.000000,top
"4","","",104.804000,-84.252000,0.000000,top
"5","","",107.554000,-85.776000,0.000000,top
"5","","",107.554000,-104.826000,0.000000,top
"5","","",106.604000,-103.302000,0.000000,top
"5","","",106.604000,-84.252000,0.000000,top
"6","","",108.404000,-84.252000,0.000000,top
"6","","",109.354000,-104.826000,0.000000,top
"6","","",109.354000,-85.776000,0.000000,top
"6","","",108.404000,-103.302000,0.000000,top
"7","","",110.204000,-103.302000,0.000000,top
"7","","",111.154000,-85.776000,0.000000,top
"7","","",111.154000,-104.826000,0.000000,top
"7","","",110.204000,-84.252000,0.000000,top
"8","","",112.954000,-104.826000,0.000000,top
"8","","",112.004000,-84.252000,0.000000,top
"8","","",112.954000,-85.776000,0.000000,top
"8","","",112.004000,-103.302000,0.000000,top
"9","","",86.350000,-73.965000,0.000000,top
"10","","",88.890000,-73.965000,0.000000,top
"11","","",91.430000,-73.965000,0.000000,top
"12","","",93.970000,-73.965000,0.000000,top
"13","","",96.510000,-73.965000,0.000000,top
"14","","",99.050000,-73.965000,0.000000,top
"15","","",101.590000,-73.965000,0.000000,top
"16","","",104.130000,-73.965000,0.000000,top
"17","","",106.670000,-73.965000,0.000000,top
"18","","",109.210000,-73.965000,0.000000,top
"19","","",111.750000,-73.965000,0.000000,top
"20","","",83.810000,-76.505000,0.000000,top
"21","","",86.350000,-76.505000,0.000000,top
"22","","",88.890000,-76.505000,0.000000,top
"23","","",91.430000,-76.505000,0.000000,top
"24","","",93.970000,-76.505000,0.000000,top
"25","","",96.510000,-76.505000,0.000000,top
"26","","",99.050000,-76.505000,0.000000,top
"27","","",101.590000,-76.505000,0.000000,top
"28","","",104.130000,-76.505000,0.000000,top
"29","","",106.670000,-76.505000,0.000000,top
"30","","",109.210000,-76.505000,0.000000,top
"31","","",111.750000,-76.505000,0.000000,top
"32","","",83.810000,-79.045000,0.000000,top
"33","","",86.350000,-79.045000,0.000000,top
"34","","",88.890000,-79.045000,0.000000,top
"35","","",91.430000,-79.045000,0.000000,top
"36","","",93.970000,-79.045000,0.000000,top
"37","","",96.510000,-79.045000,0.000000,top
"38","","",99.050000,-79.045000,0.000000,top
"39","","",101.590000,-79.045000,0.000000,top
"40","","",104.130000,-79.045000,0.000000,top
"41","","",106.670000,-79.045000,0.000000,top
"42","","",109.210000,-79.045000,0.000000,top
"43","","",111.750000,-79.045000,0.000000,top
"44","","",83.810000,-81.585000,0.000000,top
"45","","",86.350000,-81.585000,0.000000,top
"46","","",88.890000,-81.585000,0.000000,top
"47","","",91.430000,-81.585000,0.000000,top
"48","","",93.970000,-81.585000,0.000000,top
"49","","",96.510000,-81.585000,0.000000,top
"50","","",99.050000,-81.585000,0.000000,top
"51","","",101.590000,-81.585000,0.000000,top
"52","","",104.130000,-81.585000,0.000000,top
"53","","",106.670000,-81.585000,0.000000,top
"54","","",109.210000,-81.585000,0.000000,top
"55","","",111.750000,-81.585000,0.000000,top
"56","","",83.810000,-84.125000,0.000000,top
"57","","",86.350000,-84.125000,0.000000,top
"58","","",88.890000,-84.125000,0.000000,top
"59","","",91.430000,-84.125000,0.000000,top
"60","","",93.970000,-84.125000,0.000000,top
"61","","",83.810000,-86.665000,0.000000,top
"62","","",86.350000,-86.665000,0.000000,top
"63","","",88.890000,-86.665000,0.000000,top
"64","","",91.430000,-86.665000,0.000000,top
"65","","",93.970000,-86.665000,0.000000,top
"66","","",83.810000,-89.205000,0.000000,top
"67","","",86.350000,-89.205000,0.000000,top
"68","","",88.890000,-89.205000,0.000000,top
"69","","",91.430000,-89.205000,0.000000,top
"70","","",93.970000,-89.205000,0.000000,top
"71","","",83.810000,-91.745000,0.000000,top
"72","","",86.350000,-91.745000,0.000000,top
"73","","",88.890000,-91.745000,0.000000,top
"74","","",91.430000,-91.745000,0.000000,top
"75","","",93.970000,-91.745000,0.000000,top
"76","","",83.810000,-94.285000,0.000000,top
"77","","",86.350000,-94.285000,0.000000,top
"78","","",88.890000,-94.285000,0.000000,top
"79","","",91.430000,-94.285000,0.000000,top
"80","","",93.970000,-94.285000,0.000000,top
"81","","",83.810000,-96.825000,0.000000,top
"82","","",86.350000,-96.825000,0.000000,top
"83","","",88.890000,-96.825000,0.000000,top
"84","","",91.430000,-96.825000,0.000000,top
"85","","",93.970000,-96.825000,0.000000,top
"86","","",83.810000,-99.365000,0.000000,top
"87","","",86.350000,-99.365000,0.000000,top
"88","","",88.890000,-99.365000,0.000000,top
"89","","",91.430000,-99.365000,0.000000,top
"90","","",93.970000,-99.365000,0.000000,top
"91","","",83.810000,-101.905000,0.000000,top
"92","","",86.350000,-101.905000,0.000000,top
"93","","",88.890000,-101.905000,0.000000,top
"94","","",91.430000,-101.905000,0.000000,top
"95","","",93.970000,-101.905000,0.000000,top
"96","","",83.810000,-104.445000,0.000000,top
"97","","",86.350000,-104.445000,0.000000,top
"98","","",88.890000,-104.445000,0.000000,top
"99","","",91.430000,-104.445000,0.000000,top
"100","","",93.970000,-104.445000,0.000000,top
"101","","",83.810000,-106.985000,0.000000,top
"102","","",86.350000,-106.985000,0.000000,top
"103","","",88.890000,-106.985000,0.000000,top
"104","","",91.430000,-106.985000,0.000000,top
"105","","",93.970000,-106.985000,0.000000,top
"106","","",83.810000,-109.525000,0.000000,top
"107","","",86.350000,-109.525000,0.000000,top
"108","","",88.890000,-109.525000,0.000000,top
"109","","",91.430000,-109.525000,0.000000,top
